"Player","Pos","Tm","X3PA","X2PA","FGA","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","Salary"
"Avery Bradley","SG","TOT",245,363,608,50,43,132,152,41,16,89,167,1.2e+07
"Tony Bradley","C","UTA",0,16,16,2,9,6,1,2,2,3,6,1679520
"Corey Brewer","SF","TOT",44,79,123,43,26,50,39,32,7,19,63,2e+06
"Mikal Bridges","SF","PHO",313,250,563,118,56,208,173,129,38,70,201,3552960
"Miles Bridges","SF","CHO",200,311,511,77,67,256,95,55,49,50,111,3206640
"Isaiah Briscoe","PG","ORL",34,104,138,26,5,69,87,11,2,31,66,838464
"Ryan Broekhoff","SG","DAL",93,33,126,19,8,55,22,6,4,16,35,838464
"Malcolm Brogdon","SG","MIL",244,504,748,152,65,223,205,46,13,91,102,1544951
"Dillon Brooks","SF","MEM",40,82,122,30,9,22,16,10,4,19,50,1378242
"MarShon Brooks","SG","MEM",54,115,169,33,12,33,25,9,4,21,33,1656092
"Bruce Brown","SG","DET",93,221,314,60,48,137,91,40,36,46,178,838464
"Jaylen Brown","SG","BOS",276,516,792,202,65,248,100,69,32,99,186,5169960
"Lorenzo Brown","PG","TOR",28,43,71,3,5,26,28,12,5,16,22,8e+05
"Sterling Brown","SG","MIL",147,165,312,42,29,155,84,25,8,46,88,1378242
"Troy Brown","SF","WAS",69,165,234,47,35,110,80,21,5,30,56,2749080
"Jalen Brunson","PG","DAL",181,384,565,120,25,144,230,37,4,88,127,1230000
"Thomas Bryant","C","WAS",99,403,502,137,113,341,92,25,67,60,126,1378242
"Reggie Bullock","SG","TOT",393,201,594,85,22,151,129,40,12,65,109,2500000
"Trey Burke","PG","TOT",159,389,548,124,28,71,159,33,7,49,58,1795015
"Alec Burks","SG","TOT",168,306,474,141,30,205,128,39,21,65,91,11536515
"Deonte Burton","SG","OKC",27,55,82,12,4,24,9,6,8,9,31,3206640
"Bruno Caboclo","SF","MEM",130,95,225,50,42,116,50,14,33,38,81,487000
"Jose Calderon","PG","DET",57,63,120,11,11,49,115,16,3,35,64,2393887
"Kentavious Caldwell-Pope","SG","LAL",435,321,756,158,48,190,110,73,13,65,137,1.2e+07
"Isaiah Canaan","PG","TOT",96,68,164,24,6,52,84,14,2,35,52,456733
"Clint Capela","C","HOU",0,732,732,261,298,550,96,44,102,94,168,15293104
"DeMarre Carroll","PF","BRK",310,265,575,242,68,281,85,31,10,73,114,15400000
"Jevon Carter","PG","MEM",102,83,185,32,14,52,69,26,11,33,55,838464
"Vince Carter","SF","ATL",316,152,468,66,31,163,87,44,27,48,141,2393887
"Wendell Carter","C","CHI",32,339,371,112,87,220,78,26,58,65,152,4441200
"Michael Carter-Williams","PG","TOT",38,85,123,53,19,51,70,20,15,20,48,1200000
"Alex Caruso","PG","LAL",50,123,173,64,20,47,77,24,9,42,54,3206640
"Omri Casspi","SF","MEM",43,118,161,58,17,98,26,20,9,23,35,2176260
"Willie Cauley-Stein","C","SAC",2,739,741,254,181,497,194,96,51,84,227,4696875
"Troy Caupain","PG","ORL",3,5,8,0,1,2,4,1,0,0,0,3206640
"Tyler Cavanaugh","PF","UTA",5,5,10,2,3,5,1,0,0,1,3,3206640
"Tyson Chandler","C","TOT",1,98,99,87,92,215,37,21,23,42,110,13585000
"Joe Chealey","PG","CHO",0,3,3,0,0,0,1,0,0,0,1,3206640
"Chris Chiozza","PG","HOU",5,3,8,0,1,3,4,1,1,1,2,90005
"Marquese Chriss","PF","TOT",72,108,180,45,40,102,22,17,11,36,81,3206160
"Gary Clark","PF","HOU",138,13,151,7,24,92,18,20,26,7,47,3206640
"Ian Clark","SG","NOP",202,181,383,37,13,76,94,22,8,58,95,1757429
"Jordan Clarkson","SG","CLE",445,735,1180,192,82,188,196,57,13,135,112,12500000
"John Collins","PF","ATL",158,673,831,266,219,376,121,22,39,120,199,2299080
"Zach Collins","C","POR",121,279,400,126,109,215,71,25,66,77,174,3628920
"Darren Collison","PG","IND",194,465,659,190,36,196,459,110,9,125,138,1e+07
"Bonzie Colson","SF","MIL",21,18,39,9,8,22,3,5,1,3,3,3206640
"Mike Conley","PG","MEM",426,694,1120,406,40,199,449,94,22,130,123,30521116
"Pat Connaughton","SG","MIL",200,150,350,40,61,197,122,33,25,33,81,1641000
"Quinn Cook","PG","GSW",200,239,439,26,22,135,116,20,3,50,92,1544951
"DeMarcus Cousins","C","GSW",95,276,371,144,43,204,107,40,44,72,109,5337000
